"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"    Population 25 to 34 years","45,233,264","±45,742","(X)","(X)","23,030,350","±30,832","(X)","(X)","22,202,914","±26,589","(X)","(X)"
"        High school graduate or higher","41,945,152","±61,503","92.7%","±0.1","21,079,481","±37,630","91.5%","±0.1","20,865,671","±37,363","94.0%","±0.1"
"        Bachelor's degree or higher","17,984,171","±94,176","39.8%","±0.2","8,147,200","±53,341","35.4%","±0.2","9,836,971","±62,442","44.3%","±0.3"
"    Population 35 to 44 years","44,047,644","±32,691","(X)","(X)","22,262,365","±21,601","(X)","(X)","21,785,279","±21,131","(X)","(X)"
"        High school graduate or higher","39,712,990","±58,926","90.2%","±0.1","19,783,223","±36,795","88.9%","±0.1","19,929,767","±34,234","91.5%","±0.1"
"        Bachelor's degree or higher","17,827,897","±76,449","40.5%","±0.2","8,149,007","±43,745","36.6%","±0.2","9,678,890","±46,640","44.4%","±0.2"
"    Population 45 to 64 years","82,603,914","±36,272","(X)","(X)","40,956,534","±23,775","(X)","(X)","41,647,380","±25,569","(X)","(X)"
"        High school graduate or higher","73,458,353","±77,320","88.9%","±0.1","35,976,842","±50,219","87.8%","±0.1","37,481,511","±46,029","90.0%","±0.1"
"        Bachelor's degree or higher","28,280,607","±112,023","34.2%","±0.1","13,392,978","±61,816","32.7%","±0.1","14,887,629","±67,752","35.7%","±0.2"
"    Population 65 years and over","57,822,315","±24,459","(X)","(X)","25,924,644","±13,171","(X)","(X)","31,897,671","±15,875","(X)","(X)"
"        High school graduate or higher","50,765,578","±64,470","87.8%","±0.1","22,861,761","±35,628","88.2%","±0.1","27,903,817","±38,853","87.5%","±0.1"
"        Bachelor's degree or higher","17,815,659","±68,070","30.8%","±0.1","8,990,342","±38,962","34.7%","±0.1","8,825,317","±40,550","27.7%","±0.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","147,733,511","±81,945","(X)","(X)","72,508,788","±49,130","(X)","(X)","75,224,723","±49,872","(X)","(X)"
"        High school graduate or higher","138,438,953","±115,334","93.7%","±0.1","67,489,961","±68,887","93.1%","±0.1","70,948,992","±67,247","94.3%","±0.1"
"        Bachelor's degree or higher","57,557,419","±186,972","39.0%","±0.1","27,681,283","±98,932","38.2%","±0.1","29,876,136","±108,123","39.7%","±0.1"
"    White alone, not Hispanic or Latino","141,835,927","±38,376","(X)","(X)","69,630,833","±22,802","(X)","(X)","72,205,094","±25,251","(X)","(X)"
"        High school graduate or higher","133,652,265","±80,381","94.2%","±0.1","65,201,556","±47,982","93.6%","±0.1","68,450,709","±48,148","94.8%","±0.1"
"        Bachelor's degree or higher","56,073,722","±173,971","39.5%","±0.1","27,022,908","±93,475","38.8%","±0.1","29,050,814","±100,236","40.2%","±0.1"
"    Black alone","26,713,580","±41,238","(X)","(X)","12,439,466","±25,728","(X)","(X)","14,274,114","±28,561","(X)","(X)"
"        High school graduate or higher","23,598,992","±44,598","88.3%","±0.1","10,846,239","±26,885","87.2%","±0.2","12,752,753","±34,426","89.3%","±0.2"
"        Bachelor's degree or higher","6,787,114","±55,799","25.4%","±0.2","2,739,690","±34,940","22.0%","±0.3","4,047,424","±39,648","28.4%","±0.3"
"    American Indian or Alaska Native alone","2,012,968","±26,036","(X)","(X)","1,024,484","±17,776","(X)","(X)","988,484","±14,748","(X)","(X)"
"        High school graduate or higher","1,571,495","±20,460","78.1%","±0.6","780,295","±13,604","76.2%","±0.8","791,200","±12,392","80.0%","±0.7"
"        Bachelor's degree or higher","339,145","±9,492","16.8%","±0.5","145,087","±5,908","14.2%","±0.6","194,058","±6,458","19.6%","±0.6"
"    Asian alone","14,185,240","±27,921","(X)","(X)","6,628,308","±18,012","(X)","(X)","7,556,932","±18,670","(X)","(X)"
"        High school graduate or higher","12,515,216","±36,990","88.2%","±0.2","5,941,125","±22,347","89.6%","±0.2","6,574,091","±24,046","87.0%","±0.2"
"        Bachelor's degree or higher","8,143,954","±38,673","57.4%","±0.2","3,933,144","±22,815","59.3%","±0.3","4,210,810","±26,420","55.7%","±0.3"
"    Native Hawaiian and Other Pacific Islander alone","422,456","±9,924","(X)","(X)","214,863","±7,197","(X)","(X)","207,593","±6,289","(X)","(X)"
"        High school graduate or higher","370,154","±9,761","87.6%","±1.0","188,180","±6,598","87.6%","±1.3","181,974","±6,602","87.7%","±1.2"
"        Bachelor's degree or higher","83,507","±5,255","19.8%","±1.2","41,563","±3,652","19.3%","±1.5","41,944","±3,843","20.2%","±1.8"
"    Some other race alone","14,991,054","±94,360","(X)","(X)","7,655,559","±55,436","(X)","(X)","7,335,495","±50,221","(X)","(X)"
"        High school graduate or higher","10,159,948","±81,565","67.8%","±0.3","5,060,593","±50,787","66.1%","±0.4","5,099,355","±45,740","69.5%","±0.4"
"        Bachelor's degree or higher","2,409,185","±32,410","16.1%","±0.2","1,092,163","±22,110","14.3%","±0.3","1,317,022","±20,272","18.0%","±0.3"
"    Two or more races","23,648,328","±107,006","(X)","(X)","11,702,425","±62,576","(X)","(X)","11,945,903","±62,104","(X)","(X)"
"        High school graduate or higher","19,227,315","±106,842","81.3%","±0.2","9,394,914","±64,087","80.3%","±0.3","9,832,401","±60,981","82.3%","±0.2"
"        Bachelor's degree or higher","6,588,010","±69,583","27.9%","±0.2","3,046,597","±38,904","26.0%","±0.3","3,541,413","±42,671","29.6%","±0.3"
"    Hispanic or Latino Origin","37,371,289","±25,720","(X)","(X)","18,795,848","±17,087","(X)","(X)","18,575,441","±17,230","(X)","(X)"
"        High school graduate or higher","27,334,912","±81,654","73.1%","±0.2","13,459,632","±51,317","71.6%","±0.3","13,875,280","±43,442","74.7%","±0.2"
"        Bachelor's degree or higher","7,605,138","±68,369","20.4%","±0.2","3,451,872","±40,179","18.4%","±0.2","4,153,266","±40,740","22.4%","±0.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","24.5%","±0.2","(X)","(X)","21.1%","±0.2","(X)","(X)","28.1%","±0.3"
"    High school graduate (includes equivalency)","(X)","(X)","14.4%","±0.1","(X)","(X)","11.9%","±0.1","(X)","(X)","17.0%","±0.1"
"    Some college or associate's degree","(X)","(X)","10.0%","±0.1","(X)","(X)","7.9%","±0.1","(X)","(X)","11.9%","±0.1"
"    Bachelor's degree or higher","(X)","(X)","4.5%","±0.1","(X)","(X)","4.1%","±0.1","(X)","(X)","5.0%","±0.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","50,145","±64","(X)","(X)","56,539","±149","(X)","(X)","42,094","±65","(X)","(X)"
"        Less than high school graduate","30,788","±101","(X)","(X)","35,428","±186","(X)","(X)","23,370","±244","(X)","(X)"
"        High school graduate (includes equivalency)","37,290","±90","(X)","(X)","43,403","±165","(X)","(X)","30,411","±84","(X)","(X)"
"        Some college or associate's degree","44,080","±139","(X)","(X)","53,020","±168","(X)","(X)","36,994","±104","(X)","(X)"
"        Bachelor's degree","64,911","±149","(X)","(X)","78,869","±445","(X)","(X)","54,913","±143","(X)","(X)"
"        Graduate or professional degree","84,118","±274","(X)","(X)","103,049","±339","(X)","(X)","72,582","±280","(X)","(X)"
